route_id,service_id,trip_id,trip_headsign,direction_id,block_id
6,1,436,"HOBOKEN/TONNELLE",0,"170B42054"
6,1,437,"HOBOKEN/TONNELLE",0,"170B42055"
6,1,438,"HOBOKEN/TONNELLE",0,"170B42051"
6,1,439,"HOBOKEN/TONNELLE",0,"170B42052"
6,1,440,"HOBOKEN/TONNELLE",0,"170B42011"
6,1,441,"HOBOKEN/TONNELLE",0,"170B42054"
6,1,442,"HOBOKEN/TONNELLE",0,"170B42055"
6,1,443,"HOBOKEN/TONNELLE",0,"170B42051"
6,1,444,"HOBOKEN/TONNELLE",0,"170B42052"
6,1,445,"HOBOKEN/TONNELLE",0,"170B42011"
6,1,446,"HOBOKEN/TONNELLE",0,"170B42054"
6,1,447,"HOBOKEN/TONNELLE",0,"170B42055"
6,1,448,"HOBOKEN/TONNELLE",0,"170B42051"
6,1,449,"HOBOKEN/TONNELLE",0,"170B42052"
6,1,450,"HOBOKEN/TONNELLE",0,"170B42011"
6,1,451,"HOBOKEN/TONNELLE",0,"170B42054"
6,1,452,"HOBOKEN/TONNELLE",0,"170B42055"
6,1,453,"HOBOKEN/TONNELLE",0,"170B42051"
6,1,454,"HOBOKEN/TONNELLE",0,"170B42052"
6,1,455,"HOBOKEN/TONNELLE",0,"170B42011"
6,1,456,"HOBOKEN/TONNELLE",0,"170B42054"
6,1,457,"HOBOKEN/TONNELLE",0,"170B42055"
6,1,458,"HOBOKEN/TONNELLE",0,"170B42051"
6,1,459,"HOBOKEN/TONNELLE",0,"170B42052"
6,1,460,"HOBOKEN/TONNELLE",0,"170B42011"
6,1,461,"HOBOKEN/TONNELLE",0,"170B42054"
6,1,462,"HOBOKEN/TONNELLE",0,"170B42055"
6,1,463,"HOBOKEN/TONNELLE",0,"170B42051"
6,1,464,"HOBOKEN/TONNELLE",0,"170B42052"
6,1,465,"HOBOKEN/TONNELLE",0,"170B42011"
6,1,466,"HOBOKEN/TONNELLE",0,"170B42031"
6,1,467,"HOBOKEN/TONNELLE",0,"170B42032"
6,1,468,"HOBOKEN/TONNELLE",0,"170B42031"
6,1,469,"HOBOKEN/TONNELLE",0,"170B42032"
6,1,470,"HOBOKEN/TONNELLE",0,"170B42031"
6,1,471,"HOBOKEN/TONNELLE",0,"170B42032"
6,1,472,"HOBOKEN/TONNELLE",0,"170B42031"
6,1,473,"HOBOKEN/TONNELLE",0,"170B42032"
6,1,474,"HOBOKEN/TONNELLE",0,"170B42031"
6,1,475,"HOBOKEN/TONNELLE",0,"170B42032"
6,1,476,"HOBOKEN/TONNELLE",0,"170B42031"
6,1,477,"HOBOKEN/TONNELLE",0,"170B42032"
6,1,478,"HOBOKEN/TONNELLE",0,"170B42031"
6,1,479,"HOBOKEN/TONNELLE",0,"170B42032"
6,1,480,"HOBOKEN/TONNELLE",0,"170B42031"
6,1,481,"HOBOKEN/TONNELLE",0,"170B42032"
6,1,482,"HOBOKEN/TONNELLE",0,"170B42031"
6,1,483,"HOBOKEN/TONNELLE",0,"170B42032"
6,1,484,"HOBOKEN/TONNELLE",0,"170B42031"
6,1,485,"HOBOKEN/TONNELLE",0,"170B42032"
6,1,486,"HOBOKEN/TONNELLE",0,"170B42031"
6,1,487,"HOBOKEN/TONNELLE",0,"170B42032"
6,1,488,"HOBOKEN/TONNELLE",0,"170B42031"
6,1,489,"HOBOKEN/TONNELLE",0,"170B42032"
6,1,490,"HOBOKEN/TONNELLE",0,"170B42031"
6,1,491,"HOBOKEN/TONNELLE",0,"170B42032"
6,1,492,"HOBOKEN/TONNELLE",0,"170B42031"
6,1,493,"HOBOKEN/TONNELLE",0,"170B42032"
6,1,494,"HOBOKEN/TONNELLE",0,"170B42031"
6,1,495,"HOBOKEN/TONNELLE",0,"170B42032"
6,1,496,"HOBOKEN/TONNELLE",0,"170B42031"
6,1,497,"HOBOKEN/TONNELLE",0,"170B42032"
6,1,498,"HOBOKEN/TONNELLE",0,"170B42031"
6,1,499,"HOBOKEN/TONNELLE",0,"170B42032"
6,1,500,"HOBOKEN/TONNELLE",0,"170B42031"
6,1,501,"HOBOKEN/TONNELLE",0,"170B42032"
6,1,502,"HOBOKEN/TONNELLE",0,"170B42031"
6,1,503,"HOBOKEN/TONNELLE",0,"170B42032"
6,1,504,"HOBOKEN/TONNELLE",0,"170B42031"
6,1,505,"HOBOKEN/TONNELLE",0,"170B42032"
6,1,506,"HOBOKEN/TONNELLE",0,"170B42031"
6,1,507,"HOBOKEN/TONNELLE",0,"170B42032"
