trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type,shape_dist_traveled
482,18:49:00,18:49:00,42673,1,0,0,0.0000
482,18:51:00,18:51:00,38229,2,0,0,0.9303
482,18:53:00,18:53:00,37005,3,0,0,1.7907
482,18:55:00,18:55:00,37004,4,0,0,2.3530
482,18:57:00,18:57:00,37003,5,0,0,3.5631
482,18:58:00,18:58:00,37002,6,0,0,4.2112
482,19:01:00,19:01:00,36998,7,0,0,5.6330
482,19:04:00,19:04:00,36997,8,0,0,6.3144
482,19:05:00,19:05:00,36996,9,0,0,6.5917
482,19:07:00,19:07:00,36995,10,0,0,6.9996
482,19:09:00,19:09:00,36994,11,0,0,7.2936
482,19:11:00,19:11:00,37376,12,0,0,7.5424
482,19:13:00,19:13:00,37377,13,0,0,7.8892
482,19:16:00,19:16:00,37378,14,0,0,8.1822
482,19:20:00,19:20:00,39348,15,0,0,9.1400
483,19:09:00,19:09:00,42673,1,0,0,0.0000
483,19:11:00,19:11:00,38229,2,0,0,0.9303
483,19:13:00,19:13:00,37005,3,0,0,1.7907
483,19:15:00,19:15:00,37004,4,0,0,2.3530
483,19:17:00,19:17:00,37003,5,0,0,3.5631
483,19:18:00,19:18:00,37002,6,0,0,4.2112
483,19:21:00,19:21:00,36998,7,0,0,5.6330
483,19:24:00,19:24:00,36997,8,0,0,6.3144
483,19:25:00,19:25:00,36996,9,0,0,6.5917
483,19:27:00,19:27:00,36995,10,0,0,6.9996
483,19:29:00,19:29:00,36994,11,0,0,7.2936
483,19:31:00,19:31:00,37376,12,0,0,7.5424
483,19:33:00,19:33:00,37377,13,0,0,7.8892
483,19:36:00,19:36:00,37378,14,0,0,8.1822
483,19:40:00,19:40:00,39348,15,0,0,9.1400
484,19:29:00,19:29:00,42673,1,0,0,0.0000
484,19:31:00,19:31:00,38229,2,0,0,0.9303
484,19:33:00,19:33:00,37005,3,0,0,1.7907
484,19:35:00,19:35:00,37004,4,0,0,2.3530
484,19:37:00,19:37:00,37003,5,0,0,3.5631
484,19:38:00,19:38:00,37002,6,0,0,4.2112
484,19:41:00,19:41:00,36998,7,0,0,5.6330
484,19:44:00,19:44:00,36997,8,0,0,6.3144
484,19:45:00,19:45:00,36996,9,0,0,6.5917
484,19:47:00,19:47:00,36995,10,0,0,6.9996
484,19:49:00,19:49:00,36994,11,0,0,7.2936
484,19:51:00,19:51:00,37376,12,0,0,7.5424
484,19:53:00,19:53:00,37377,13,0,0,7.8892
484,19:56:00,19:56:00,37378,14,0,0,8.1822
484,20:00:00,20:00:00,39348,15,0,0,9.1400
485,19:49:00,19:49:00,42673,1,0,0,0.0000
485,19:51:00,19:51:00,38229,2,0,0,0.9303
485,19:53:00,19:53:00,37005,3,0,0,1.7907
485,19:55:00,19:55:00,37004,4,0,0,2.3530
485,19:57:00,19:57:00,37003,5,0,0,3.5631
485,19:58:00,19:58:00,37002,6,0,0,4.2112
485,20:01:00,20:01:00,36998,7,0,0,5.6330
485,20:04:00,20:04:00,36997,8,0,0,6.3144
485,20:05:00,20:05:00,36996,9,0,0,6.5917
485,20:07:00,20:07:00,36995,10,0,0,6.9996
485,20:09:00,20:09:00,36994,11,0,0,7.2936
485,20:11:00,20:11:00,37376,12,0,0,7.5424
485,20:13:00,20:13:00,37377,13,0,0,7.8892
485,20:16:00,20:16:00,37378,14,0,0,8.1822
485,20:20:00,20:20:00,39348,15,0,0,9.1400
486,20:09:00,20:09:00,42673,1,0,0,0.0000
486,20:11:00,20:11:00,38229,2,0,0,0.9303
486,20:13:00,20:13:00,37005,3,0,0,1.7907
486,20:15:00,20:15:00,37004,4,0,0,2.3530
486,20:17:00,20:17:00,37003,5,0,0,3.5631
486,20:18:00,20:18:00,37002,6,0,0,4.2112
486,20:21:00,20:21:00,36998,7,0,0,5.6330
486,20:24:00,20:24:00,36997,8,0,0,6.3144
486,20:25:00,20:25:00,36996,9,0,0,6.5917
486,20:27:00,20:27:00,36995,10,0,0,6.9996
486,20:29:00,20:29:00,36994,11,0,0,7.2936
486,20:31:00,20:31:00,37376,12,0,0,7.5424
486,20:33:00,20:33:00,37377,13,0,0,7.8892
486,20:36:00,20:36:00,37378,14,0,0,8.1822
486,20:40:00,20:40:00,39348,15,0,0,9.1400
487,20:29:00,20:29:00,42673,1,0,0,0.0000
487,20:31:00,20:31:00,38229,2,0,0,0.9303
487,20:33:00,20:33:00,37005,3,0,0,1.7907
487,20:35:00,20:35:00,37004,4,0,0,2.3530
487,20:37:00,20:37:00,37003,5,0,0,3.5631
487,20:38:00,20:38:00,37002,6,0,0,4.2112
487,20:41:00,20:41:00,36998,7,0,0,5.6330
487,20:44:00,20:44:00,36997,8,0,0,6.3144
487,20:45:00,20:45:00,36996,9,0,0,6.5917
487,20:47:00,20:47:00,36995,10,0,0,6.9996
487,20:49:00,20:49:00,36994,11,0,0,7.2936
487,20:51:00,20:51:00,37376,12,0,0,7.5424
487,20:53:00,20:53:00,37377,13,0,0,7.8892
487,20:56:00,20:56:00,37378,14,0,0,8.1822
487,21:00:00,21:00:00,39348,15,0,0,9.1400
488,20:49:00,20:49:00,42673,1,0,0,0.0000
488,20:51:00,20:51:00,38229,2,0,0,0.9303
488,20:53:00,20:53:00,37005,3,0,0,1.7907
488,20:55:00,20:55:00,37004,4,0,0,2.3530
488,20:57:00,20:57:00,37003,5,0,0,3.5631
488,20:58:00,20:58:00,37002,6,0,0,4.2112
488,21:01:00,21:01:00,36998,7,0,0,5.6330
488,21:04:00,21:04:00,36997,8,0,0,6.3144
488,21:05:00,21:05:00,36996,9,0,0,6.5917
488,21:07:00,21:07:00,36995,10,0,0,6.9996
488,21:09:00,21:09:00,36994,11,0,0,7.2936
488,21:11:00,21:11:00,37376,12,0,0,7.5424
488,21:13:00,21:13:00,37377,13,0,0,7.8892
488,21:16:00,21:16:00,37378,14,0,0,8.1822
488,21:20:00,21:20:00,39348,15,0,0,9.1400
489,21:09:00,21:09:00,42673,1,0,0,0.0000
489,21:11:00,21:11:00,38229,2,0,0,0.9303
489,21:13:00,21:13:00,37005,3,0,0,1.7907
489,21:15:00,21:15:00,37004,4,0,0,2.3530
489,21:17:00,21:17:00,37003,5,0,0,3.5631
489,21:18:00,21:18:00,37002,6,0,0,4.2112
489,21:21:00,21:21:00,36998,7,0,0,5.6330
489,21:24:00,21:24:00,36997,8,0,0,6.3144
489,21:25:00,21:25:00,36996,9,0,0,6.5917
489,21:27:00,21:27:00,36995,10,0,0,6.9996
489,21:29:00,21:29:00,36994,11,0,0,7.2936
489,21:31:00,21:31:00,37376,12,0,0,7.5424
489,21:33:00,21:33:00,37377,13,0,0,7.8892
489,21:36:00,21:36:00,37378,14,0,0,8.1822
489,21:40:00,21:40:00,39348,15,0,0,9.1400
490,21:29:00,21:29:00,42673,1,0,0,0.0000
490,21:31:00,21:31:00,38229,2,0,0,0.9303
490,21:33:00,21:33:00,37005,3,0,0,1.7907
490,21:35:00,21:35:00,37004,4,0,0,2.3530
490,21:37:00,21:37:00,37003,5,0,0,3.5631
490,21:38:00,21:38:00,37002,6,0,0,4.2112
490,21:41:00,21:41:00,36998,7,0,0,5.6330
490,21:44:00,21:44:00,36997,8,0,0,6.3144
490,21:45:00,21:45:00,36996,9,0,0,6.5917
490,21:47:00,21:47:00,36995,10,0,0,6.9996
490,21:49:00,21:49:00,36994,11,0,0,7.2936
490,21:51:00,21:51:00,37376,12,0,0,7.5424
490,21:53:00,21:53:00,37377,13,0,0,7.8892
490,21:56:00,21:56:00,37378,14,0,0,8.1822
490,22:00:00,22:00:00,39348,15,0,0,9.1400
491,21:49:00,21:49:00,42673,1,0,0,0.0000
491,21:51:00,21:51:00,38229,2,0,0,0.9303
491,21:53:00,21:53:00,37005,3,0,0,1.7907
491,21:55:00,21:55:00,37004,4,0,0,2.3530
491,21:57:00,21:57:00,37003,5,0,0,3.5631
491,21:58:00,21:58:00,37002,6,0,0,4.2112
491,22:01:00,22:01:00,36998,7,0,0,5.6330
491,22:04:00,22:04:00,36997,8,0,0,6.3144
491,22:05:00,22:05:00,36996,9,0,0,6.5917
491,22:07:00,22:07:00,36995,10,0,0,6.9996
491,22:09:00,22:09:00,36994,11,0,0,7.2936
491,22:11:00,22:11:00,37376,12,0,0,7.5424
491,22:13:00,22:13:00,37377,13,0,0,7.8892
491,22:16:00,22:16:00,37378,14,0,0,8.1822
491,22:20:00,22:20:00,39348,15,0,0,9.1400
492,22:09:00,22:09:00,42673,1,0,0,0.0000
492,22:11:00,22:11:00,38229,2,0,0,0.9303
492,22:13:00,22:13:00,37005,3,0,0,1.7907
492,22:15:00,22:15:00,37004,4,0,0,2.3530
492,22:17:00,22:17:00,37003,5,0,0,3.5631
492,22:18:00,22:18:00,37002,6,0,0,4.2112
492,22:21:00,22:21:00,36998,7,0,0,5.6330
492,22:24:00,22:24:00,36997,8,0,0,6.3144
492,22:25:00,22:25:00,36996,9,0,0,6.5917
492,22:27:00,22:27:00,36995,10,0,0,6.9996
492,22:29:00,22:29:00,36994,11,0,0,7.2936
492,22:31:00,22:31:00,37376,12,0,0,7.5424
492,22:33:00,22:33:00,37377,13,0,0,7.8892
492,22:36:00,22:36:00,37378,14,0,0,8.1822
492,22:40:00,22:40:00,39348,15,0,0,9.1400
493,22:29:00,22:29:00,42673,1,0,0,0.0000
493,22:31:00,22:31:00,38229,2,0,0,0.9303
