stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id
110,"NEW BRIDGE LANDING",,40.910856,-74.035044,1613
111,"ORADELL",,40.953478,-74.029983,1869
112,"ORANGE",,40.771883,-74.233103,1101
113,"OTISVILLE",,41.471789,-74.529211,6221
114,"PARK RIDGE",,41.032307,-74.036161,2637
115,"PASSAIC",,40.849416,-74.133926,1101
116,"PATERSON",,40.914887,-74.167330,1613
117,"PEAPACK",,40.708796,-74.658469,4685
118,"PEARL RIVER",,41.058181,-74.022313,4941
119,"PERTH AMBOY",,40.509398,-74.273752,3149
120,"PLAINFIELD",,40.618425,-74.420163,2893
121,"PLAUDERVILLE",,40.886988,-74.102232,1357
122,"POINT PLEASANT",,40.092718,-74.048191,5965
123,"PORT JERVIS",,41.374899,-74.694622,6477
124,"PRINCETON",,40.342625,-74.659091,25421
125,"PRINCETON JCT.",,40.316316,-74.623753,4941
126,"RADBURN",,40.939919,-74.121613,1613
127,"RAHWAY",,40.606338,-74.276692,2125
128,"RAMSEY",,41.056422,-74.141877,3149
129,"RARITAN",,40.571010,-74.634361,4429
130,"RED BANK",,40.348284,-74.074538,4685
131,"RIDGEWOOD",,40.980631,-74.120592,2381
132,"RIVER EDGE",,40.935148,-74.029140,1613
134,"RUTHERFORD",,40.828248,-74.100560,845
135,"SALISBURY MILLS-CORNWALL",,41.437075,-74.101871,5453
136,"SHORT HILLS",,40.725249,-74.323751,1869
137,"SLOATSBURG",,41.157138,-74.191304,3917
138,"SOMERVILLE",,40.566075,-74.613970,4429
139,"SOUTH AMBOY",,40.482749,-74.278951,3405
140,"SOUTH ORANGE",,40.745952,-74.260538,1357
141,"SPRING LAKE",,40.150559,-74.035481,5709
142,"SPRING VALLEY",,41.111978,-74.043991,4941
143,"STIRLING",,40.674584,-74.493720,3661
144,"SUFFERN",,41.113540,-74.153442,3661
145,"SUMMIT",,40.716549,-74.357807,2381
146,"TETERBORO",,40.864860,-74.062676,1101
147,"TOWACO",,40.922809,-74.343842,2893
148,"TRENTON TRANSIT CENTER",,40.218518,-74.753923,5709
149,"TUXEDO",,41.194208,-74.184460,3917
